IncidentID	Date	Location	Attack type	Weapon	Total killed	Israelis killed	Palestinians killed	Others killed	Total wounded	Israelis wounded	Palestinians wounded	Others wounded	Total casualties	Claimed by	Attributed to	Description	Context	Target type
82	22/04/01	Israel	Suicide attack	Bomb	2	1	1	0	39	39	0	0	42	Hamas/Qassam Brigades		"*Israelis wounded is assumption.

""Two people, including the bomber, were killed and 39 injured in the bombing in the town of Kfar Saba, north of Tel Aviv""

QB claims responsibility in 2nd source."		Civilian
83	29/04/01	West Bank	Suicide attack	Bomb	1	0	1	0	0	0	0	0	1	Hamas/Qassam Brigades		""" 'Jamal Nasser, a student at Najah University, rammed a car loaded with 240 kilogrammes of explosive charges into a bus carrying settlers and soldiers, killing himself in the blast,' [the Qassam Brigades] said.""

""The explosion had only caused minor damage to the armoured school bus, injuring no one."""		Mixed
84	18/05/01	Israel	Suicide attack	Bomb	5	4	1	0	50	50			55	Hamas/Qassam Brigades		"*Total wounded is estimate, Israelis wounded is assumption. I'm also assuming one of the 5 dead is the bomber--article doesn't say.

""...suicide attack on a shopping centre in the northern Israeli resort of Netanya that killed five people and wounded almost 50 others."""		Civilian
85	25/05/01	Gaza Strip	Suicide attack	Bomb	1	0	1	0	0	0	0	0	1	Hamas/Qassam Brigades		"""The Israeli army said the attack using an explosives-laden truck, near a crossroads by the Jewish settlement of Netzarim south of Gaza City, caused no casualties among its soldiers.""

""The soldiers opened fire at the truck, causing it to explode."" (2nd source)"	"""...triggering two Israeli raids into Palestinian land nearby, Hamas and Palestinian security sources said."""	Military
86	01/06/01	Israel	Suicide attack	Bomb	21	20	1	0	120	120			141	Hamas/Qassam Brigades		"*Wounded column estimate and assumption, respectively

"" 'The Ezzeddin al-Kassam Brigades... officially claim their responsibility for the suicide operation in Tel Aviv which killed 19 Israelis and injured nearly 120,' the statement [from the group to the AFP] said.""

Second source #140!"		Civilian
87	22/06/01	Gaza Strip	Suicide attack	Bomb	3	2	1	0	0	0	0	0	3	Hamas/Qassam Brigades		Bomb attack that killed 2 soldiers and the bomber. Doesn't mention any injuries, so I'm assuming there were none.	First attack since Hamas's agreement to a cease-fire about a week before (on June 13).	Military
88	09/07/01	Gaza Strip	Suicide attack	Bomb	1	0	1	0	0	0	0	0	1	Hamas/Qassam Brigades		"""The driver of the car was killed in the powerful explosion near the Gush Katif settlement bloc in the southern Gaza Strip, but there were no other casualties.""

Target was ""an Israeli military position and a bus carrying Jewish settlers."""		Mixed
89	09/08/01	Israel	Suicide attack	Bomb	18	17	1	0	88				106	Hamas/Qassam Brigades		"""Hamas said Izzedine Shuhin al-Masri entered the pizza parlour in west Jerusalem and detonated a powerful explosive packed with nails among the lunchtime crowd, killing himself, up to 17 other people and wounding 88.""

Some disagreement over responsibility, with both QB and PIJ claiming they, and not the other, had done it. PIJ's alleged bomber's father later said, however, that his son was still alive. Assigning this therefore to Hamas/QB."		Civilian
90	04/09/01	Israel	Suicide attack	Bomb	1	0	1	0	13	13	0	0	14	Hamas/Qassam Brigades	Hamas/Qassam Brigades	"""A suicide bomber blew himself up... injuring 13 people, one of them critically, near a school in west Jerusalem. Disguised as a religious Jew... the intervention of... border guards had probably made the bomber blow himself up sooner than he had planned.""

"" 'I think his target was a very busy place such as a hospital or a school.' "" -Israeli Defence Minister Binyamin Ben Eliezer

Source 1: Attributed to Hamas; Source 2: Hamas claims attack."	Continuing Intifada II	Civilian
91	09/09/01	Israel	Suicide attack	Bomb	4	3	1	0	36	36	0	0	40	Hamas/Qassam Brigades		"*Israelis wonded is assumption, total wounded is reported in AFP article.

""suicide bombing at a railway station in northern Israel that left four people dead and 36 wounded including the bomber.""

2nd source confirms bomber among dead, not injured. Also reports that bomber was Israeli Arab, the first suicide bomber to come from Israel. Hamas claims official responsibility in 2nd source on following day (Monday)."	"""A leaflet... said the bombing was revenge for Israel's 'assassination of our leaders,' a reference to Israeli attacks on militants"" (2nd source)."	Civilian
92	02/10/01	Gaza Strip	Non-suicide attack	Gun	4	2	2	0	15	15	0	0	19	Hamas/Qassam Brigades		"""Two... gunmen, Ibrahim Rayan and Abdullah Shaben, were killed by Israeli forces after infiltrating the Jewish settlement of Alai Sinai, gunning down two young Israelis and injuring 15 more.""

Not sure on date, as the newswire, dated Oct 3, says ""the night before."" Attack may very well have been in the wee hours of the 3rd."	Claims as revenge for Palestinian blood spilled.	Civilian
93	08/11/01	West Bank	Suicide attack	Bomb	1	0	1	0	2	2	0	0	3	Hamas/Qassam Brigades		"""...a suicide bombing which injured two Israeli policemen as they closed in on the bomber.""

Target unknown"		
94	24/11/01	Gaza Strip	Non-suicide attack	Mortar	1	1	0	0	2	2	0	0	3	Hamas/Qassam Brigades		"""Hamas carried out the mortar attack on the Jewish settlement of Kfar Darom in the Gaza Strip which killed one Israeli and wounded two others Saturday, the militant Islamic group said.""

QB say it was an Israeli soldier, and the statement's amiguous about whether the other were, too. Leaving target as ""mixed"" because I don't know how accurate mortars fired at a settlement could be. Depends on the distance and their quality, I guess. No info here."		Mixed
95	26/11/01	Gaza Strip	Suicide attack	Bomb	1	0	1	0	2	2	0	0	3	Hamas/Qassam Brigades		"The bomber ""was killed on the spot and slightly injured two Israeli soldiers in the legs.""
At Erez crossing"		Military
96	27/11/01	Gaza Strip	Non-suicide attack	Gun	2	1	1	0	3	3	0	0	5	Hamas/Qassam Brigades		""" 'The gunman crawled from nearby houses to the (road) junction. He fired and threw grenades at a convoy, which included a bus, several private cars and army jeeps at both ends,' army spokesman Asaf Librati told AFP.

""A nearby army post opened fire as soldiers cut off his escape from behind and killed him, Librati said.

""The dead woman and those injured 'were not in the bus, but in private cars near the bus,' he said, adding that all the casualties were settlers of Gush Katif."""		Mixed
97	02/12/01	Gaza Strip	Non-suicide attack	Gun	3	1	2	0	5	5	0	0	8	Hamas/Qassam Brigades		""" 'The Ezzedine al-Qassam Brigades are responsible for the attacks against Alei Sinai in which one Zionist woman was killed and five injured this morning,' Hamas said in a statement on its website.

""Israeli forces swiftly killed two Palestinians who had carried out the attack, in a burst of fighting near the Jewish settlement, public radio said."""		Civilian
98	01/12/01	Israel	Suicide attack	Bomb	12	10	2	0	170				182	Hamas/Qassam Brigades		"**Actually 2 suicide bombings and one car bomb! (3 attacks!)**
*Wounded is an in-source approximation*

""Two Palestinian suicide bombings followed by a car bomb killed 10 people and injured more than 170 in a lively night spot district in central Jerusalem Saturday night.""

Additional information in source 120. This source seems to state that 10 killed were Israelis, with 2 suicide bombers in addition to that."	"""Israel has been on high alert since its helicopter gunships killed a top Hamas military mastermind more than a week ago, sparking enraged cries of vengeance."""	Civilian
99	02/12/01	Israel	Suicide attack	Bomb	16	15	1	0	40	40	0	0	56	Hamas/Qassam Brigades		"**Assume attacker included in total killed; doesn't say**
**Assume Israelis wounded #**

""...suicide bus bombing in the northern Israeli port city of Haifa which has killed 16 people and injured some 4O others.""

Posted on QB website."	Loads of attacks Dec 1 and 2	Civilian
100	12/12/01	West Bank	Non-suicide attack	Other/NA	11	10	1	0	30	30	0	0	41	Hamas/QB + al-Aqsa Martyrs	Hamas/Qassam Brigades	"""The assailant exploded a bomb as a bus of settlers approached the settlement of Emmanuel just south of Nablus and then attacked it with machine-gun fire before soldiers killed him."""	Attacker's brother was killed exactly one month before in an Israeli raid.	Civilian
101	12/12/01	Gaza Strip	Suicide attack	Bomb	2	0	2	0	4	4	0	0	6		Hamas/Qassam Brigades	"""Two Palestinians who blew themselves up in a Jewish settlement bloc in the Gaza Strip on Wednesday, injuring four Israelis, were members of the hardline Islamic group Hamas, residents of their home village said."""		Civilian
102	09/01/02	Israel	Non-suicide attack	Gun	6	4	2	0	0	0	0	0	6	Hamas/Qassam Brigades		"*Hard to say if suicide or not. May not have expected to survive.

2 Hamas members shot 4 Israeli soldiers before being shot themselves.

""...dawn gunbattle that erupted at an army post beside Kerem Shalom kibbutz in southern Israel, close to the Gaza town of Rafah."""	"Israeli response was to send ""Israeli Defence Force [to] the Gaza Strip where dozens of Palestinian houses, as well as the air strip, have been destroyed"" (statement by Kofi Annan at UN, sourcea 124 and 125)."	Military
103	31/01/02	Gaza Strip	Non-suicide attack	Bomb	0	0	0	0	1	0	0	1	1	Hamas/Qassam Brigades		"""...planting a bomb near a Jewish settlement in the Gaza Strip which slightly injured a Thai worker.""

2 QB members who planted it were discovered and shot by IDF."		Civilian
104	06/02/02	West Bank	Non-suicide attack	Gun	4	3	1	0	3	3	0	0	7	Hamas/Qassam Brigades		"""...attack on a Jewish settlement in the West Bank which killed a woman settler and an Israeli soldier, and also left the gunman dead.""

""The Wednesday night attack on the Hamra settlement in the Jordan Valley, which also left three people wounded, was carried out by a member of the armed wing of Hamas...""

Wounded is 3 or 4, unclear, maybe only 2, as one wounded seems to have died later (compare 1st and 2nd sources)."		Mixed
105	14/02/02	Gaza Strip	Non-suicide attack	Other/NA	3	3	0	0	1	1	0	0	4	Hamas + other		"Roadside bomb explosion and shots fired at an Israeli civilian convoy. IDF later arrived, tank fell victim to mine. Article somewhat unclear, but it seems that the 3 dead were from the initial convoy. One soldier ""moderately injured"" in mine tank blast, I guess (description says one soldier was pinned under the tank and it was on fire... hard to see how that could lead to only ""moderate"" injuries). Also says ""one wounded soldier"" was taken to the hospital, suggesting there were more. Poorly written!
Hamas, Fatah, and the Saladin Brigades of the Popular Resistance Committees all claimed responsibility."	""" 'In response to the killing of five soldiers of the national security forces and in response to the raid on our cities and villages... Saladin Brigade detonated two roadside bombs against a Zionist convoy... then sprayed the convoy with machine-gun fire,' "" -statement from Saladin Brigade (part of PRC (see description))"	Mixed
106	16/02/02	Israel	Non-suicide attack	Rocket	0	0	0	0	0	0	0	0	0	Hamas/Qassam Brigades		"""A Hamas-manufactured Qassam-2 rocket struck near the Kfar Azza kibbutz in southern Israel, causing no casualties but some property damage, Israeli military sources had reported."""	""" 'in response to... air raid [and] tank incursions on Friday night and Saturday morning...' a statement said....
Paraphrase: Friday night, Israeli F-16s hit the Jabaliya security forces [HQ] in the northern Gaza Strip, killing one Palestinian officer and wounding another 30 people.
Israeli tanks rolled into four different areas of Gaza Strip on Fri night and Sat morning.
Saturday midday, tanks still occupying al-Maghazi and El-Bereij refugee camps in central Gaza Strip.
""One Palestinian civilian died during the incursion into El-Breij on Saturday at dawn. Two others were killed in clashes with the Israeli army later in the day."""	Civilian
107	05/03/02	Israel	Suicide attack	Bomb	1	1	0	0						Hamas/Qassam Brigades		"""The Palestinian hardline Islamic group Hamas claimed a suicide attack which killed an Israeli and wounded a number of others on a bus in Afula, northern Israel, early Tuesday.""

Total wounded + casualties hence unknown, but not zero!"	Could be as retaliation for Feb 19 helicopter gunship attack that killes 2 Hamas militants and their headquarters near Gaza City (have not put source in here or in Zotero, just look in Nexis UK for that date).	Civilian
108	05/03/02	Israel	Non-suicide attack	Rocket	0	0	0	0	3	3	0	0	3	Hamas/Qassam Brigades		"""Three home-made Katyusha-style Qassam-2 rockets manufactured by [Hamas] were fired on the southern Israeli town of Sderot"" Tuesday night."	"Claim generic retaliation.
-Also: ""On Monday, a Hamas official had told AFP his movement would retaliate for Israeli ""crimes"" and had promised to avenge the army blunder in which the wife and three children of Hamas official Hussein Abu Qweik had been killed as well as two other Palestinians, one of them a child.""
-Israel warned retaliation ""would be radical"" ""if one of those rockets ever hit a populated area in Israel"" (according to this AFP report).
-Triggered ""massive retaliation"" by IDF (see source 142)."	Civilian
109	07/03/02	Gaza Strip	Non-suicide attack	Gun	6	5	1	0	19	19	0	0	25	Hamas/Qassam Brigades		"""After nightfall... a Palestinian infiltrated Atzmona, a Jewish settlement in Gaza, and killed four Israelis, before soldiers shot him dead, the military said. Hamas took responsibility.""

Used gun and grenades.

20 initially wounded, one later died of wounds."	Ongoing skirmishes in Intifada II	Civilian
110	09/03/02	Israel	Suicide attack	Bomb	12	11	1	0	53	53	0	0	65	Hamas/QB + al-Aqsa Martyrs		"""at least 30 injured"" in attack in central Jerusalem cafe 100m from prime minister Ariel Sharon's home.

Claimed both by QB and Al Aqsa, but unclear if they actually worked together or simply both wished to claim credit.

1st source claims 10 killed, 2nd claims 11 ""others"" killed (so 12 w/ bomber) and wounding ""some 50 others."" I've thusd assumed that the first didn'T include the bomber and that since the first report one of the injured had died, bringing the total killed from 10 to 12, total wounded from 54 to 53, and total casualties to 65."		Civilian
111	10/03/02	Israel	Non-suicide attack	Gun	4	2	2	0	0	0	0	0	4	Hamas/QB + al-Aqsa Martyrs		"""Two Palestinian gunmen from Hamas kill two Israeli women soldiers at a restaurant near the southern army headquarters in Beersheva before being shot down themselves."""		Military
112	19/02/02	West Bank	Non-suicide attack	Gun	6	6	0	0	1	1	0	0	7	Hamas + other		"-""Palestinian gunmen killed six Israelis when they ambushed an army checkpoint in the West Bank Tuesday night""
-Gunmen escaped from hideout in building overlooking checkpoint and disappeared into Palestinian territory. One other person was wounded and taken to the hospital.

Hamas and two other groups claimed responsibility (see 2nd source)."		Military
113	11/03/02	Gaza Strip	Non-suicide attack	Gun	4	2	2	0	0	0	0	0	4	Hamas + other		"""The Ezzedine al-Qassam Brigades said in a statement that two of its activists, Bilal Shalta, 19, and Mohamed Ahmad Heles, 18, had thrown some 20 grenades and opened fire with automatic weapons at an Israeli patrol just south of the Jewish settlement of Netzarim.""
Attack left two dead. Two attackers later killed by Israeli army.

Not 100% clear from wording that the two dead were Israeli soldiers. Just possible that the two killed referred to the Hamas attackers... but I'm 99.5% sure that is not the case."		Military
114	18/03/02	Israel	Non-suicide attack	Rocket	0	0	0	0	0	0	0	0	0		Hamas/Qassam Brigades	2 Qassam2 rockets launched from Gaza Strip towards Ashkelon. Landed harmlessly on farmland.		Civilian
115	19/03/02	West Bank	Non-suicide attack	Gun	3	1	2	0	3	3	0	0	6	Hamas/Qassam Brigades		"""The radical Islamic Hamas group claimed responsibility for an attack on an Israeli army position where two gunmen killed an officer and wounded three other soldiers before being shot dead themselves, a Hamas statement said Tuesday.""

Occured in northern Jordan valley."		Military
116	27/03/02	Israel	Suicide attack	Bomb	25	20	1	0	65	70			90	Hamas/Qassam Brigades		"""A suicide bomber killed 12 Israelis in a crowded hotel in the northern town of Netanya late Wednesday...
""Hospital sources... said around 70 people were being treated for injuries and shock.""
-Hamas claims responsibility in 2nd source. Also claims ""at least 15 Israelis"" were killed. Possible that some of the many injured later died.
-3rd source updates #s, with death toll rising to 20 total, indicating 73 injured and 16 killed initially. Presumably 3 of them died, lowering total injured to 70.
-4th source (147) says 21 dead.
-5th source (ID: 150) says toll rose to 25 after more injured died."		Civilian
117	28/03/02	West Bank	Non-suicide attack	Gun	5	4	1	0	1	1	0	0	6	Hamas/Qassam Brigades		"Gunman broke into a house in the Elon Moreh settlement just north of Nablus.

""The gunman died of his wounds late Thursday after barricading himself inside the settlement house where he killed the four people, an army spokesman said.

""Troops found the gunman's body after blowing up a door to a room on the second floor where the militant had holed up during a four-hour stand-off and fire exchange with the army."""		Civilian
118	31/03/02	Israel	Suicide attack	Bomb	17	16	1	0	30	30	0	0	47	Hamas/Qassam Brigades		In Haifa.		Civilian
119	07/04/02	Gaza Strip	Non-suicide attack	Rocket	0	0	0	0	0	0	0	0	0	Hamas/Qassam Brigades		"""The Ezzedine al-Qassam Brigades claimed in a statement posted on its website to have 'fired Al-Banna rockets on an Israeli military target in Erez.'

An army sposkeman confirmed two rockets had hit the area, causing no casualties nor damage."""	Continued back-and-forth between Hamas and Israel. I believe Israel moved into Gaza with tanks earlier. Intifada II still raging.	Military
120	10/04/02	Israel	Suicide attack	Bomb	9	8	1		20	20	0	0	29	Hamas/Qassam Brigades		"attack on bus near Haifa

""...Ezzeddin al-Qassam Brigades, claimed responsibility in a call to Al-Jazeera televsion's office in the West Bank town of Ramallah."""	"""Israel officials had been congratulating themselves in recent days that their ongoing military offensive in Palestinian areas of the West Bank had brought a halt to a wave of suicide bombings.""

""The Israeli official said the Haifa attack 'can only justify the continuation of the operation launched on March 29 against terrorist infrastructures.' """	Civilian
121	10/02/02	Israel	Non-suicide attack	Rocket	0	0	0	0	0	0	0	0	0	Hamas/Qassam Brigades		"""Palestinian militants fired a home-made version of a Katyusha rocket at southern Israel on Sunday, without causing any damage or injuries, an Israeli army spokesman said.

A Qassam rocket -- manufactured by the Ezzedine al-Qassam Brigades, the armed wing of the radical Islamic group Hamas -- landed in a field near a farming community in the northwest Negev desert, the sources said."""		Civilian
122	10/02/02	Israel	Non-suicide attack	Gun	4	2	2	0	5	5	0	0	9	Hamas/Qassam Brigades		"""The armed wing of the radical Islamic group Hamas claimed responsibility Wednesday for a weekend shooting attack in the southern Israeli town of Beersheva that left two Israeli women soldiers dead.""

""Two gunmen had pulled up in a car outside the entrance to the southern command headquarters in Beersheva and sprayed bullets across a restaurant frequented by soldiers."""		Military
123	28/04/02	West Bank	Non-suicide attack	Gun	4	4	0	0	6	6	0	0	10	Hamas + other		"Settlement of Adora. ""killed four people, including a five-year-old girl shot in her bed, who attacked the Jewish settlement of Adora near Hebron on Saturday.""

3 Hamas militants, two later killed by IDF, on Saturday night and one overnight Sunday or Monday."	"QB said attack was "" 'revenge for the killings by the army of Akram al-Atrash,' the Hebron head of the Brigades who was killed in the village of Dura, and 30-year-old Marwan Zallum, head of the Al-Aqsa Martyrs Brigade, linked to Palestinian leader Yasser Arafat's Fatah party."""	Civilian
124	07/05/02	Israel	Suicide attack	Bomb	16	15	1	0	60	60	0	0	76	Hamas + other		"""The bomber apparently made his way into a pool hall on the third floor of this building. The explosion was so strong, part of the ceiling collapsed, trapping some of the people below. Many of the victims were teen-agers, Israeli officials said."""	"""It was the first suicide bombing in three weeks, the first since 'Operation Defensive Shield,' Israel's massive military operation that was designed to wipe out Palestinian terror.""

"" 'We are going to attack within this week and declare the holy war against all the Israelis for what happened last month in Jenin camp by the Israeli army,' [the man from QB who called to claim the attack] said"" (2nd source)."	Civilian
125	19/05/02	Israel	Suicide attack	Bomb	2	1	1	0	40	40	0	0	42	Hamas + other		Market in downtown Netanya. Number killed is a minimum, there are conflicting reports.	Shekh Yassin had the day before offered to halt attacks on Israeli civilians if Israel did the same for Palestinians.	Civilian
126	08/06/02	West Bank	Non-suicide attack	Gun	4	3	1	0	6	6	0	0	10	Hamas + other		Infiltrated the Karmei Tzur settlement. Used guns and grenades. 1 killed, at least 1 escaped.		Civilian
127	15/06/02	Gaza Strip	Non-suicide attack	Gun	3	2	1	0	4	4	0	0	6	Hamas + other		"""At least three [Hamas] fighters..., armed with guns and hand grenades, ambushed an army patrol about half a kilometer... east of the Dugit Jewish settlement in the north of the Gaza Strip, the army said late Saturday.""

One Hamas member killed, others fled."		Military
128	18/06/02	Israel	Suicide attack	Bomb	20	19	1	0	55	55			75	Hamas + other		"""...gutted a crowded rush-hour bus in southern Jerusalem early Tuesday...""

""Officials said several schoolchildren were among those killed on the bus traveling from the Jewish settlement of Gilo on Jerusalem's southern outskirts toward the city center."" (Thus not 100% clear if bus was technically in Israel, as defined internationally, or not.)

2nd source, along with most other sources on this incident (including other AFP reports) report at least 19 Israelis killed. 55 wounded seems to be a mid-range estimate. Actual data taken from 2nd source (164)."	"""With US President George W. Bush preparing to announce his blueprint for ending the nearly 21-month-old conflict, Sharon derisively rejected the idea being floated to declare at least a provisional Palestinian state.""

"" 'The Palestinian Authority condemns this attack,' information minister Yasser Abed Rabbo told AFP. 'The only beneficiary of this operation is Sharon and the occupation (of Palestinian territories). Israel will use this operation to escalate its aggression against the Palestinian Authority,' he said."""	Civilian
129	17/07/02	West Bank	Non-suicide attack	Gun	7	7	0	0	19	19	0	0	26	Hamas + other		"""Palestinian militants ambushed a bus near [the West Bank] Jewish settlement [Emmanuel] with bombs and guns Tuesday.""

""...claimed by three different militant groups: the Democratic Front for the Liberation of Palestine, the armed wing of Hamas and the Al Aqsa Martyrs Brigades"""		Civilian
130	23/07/02	Israel	Non-suicide attack	Rocket	0	0	0	0	0	0	0	0	0		Hamas/Qassam Brigades	"""The salvo of Qassem rockets, launched from the northern Gaza Strip, exploded in the Sderot area Tuesday evening without causing any injuries, public radio quoted military sources as saying.

""Palestinian militants also fired four mortar rounds at a Jewish settlement in the northern Gaza Strip, lightly wounding two settlers, army sources said.""

Can't be sure either were Hamas, but as original source mentions, Qassams are Hamas's trademark weapon."	Israeli raids and plans to expell family members of Hamas attackers	Civilian
131	31/07/02	Israel	Non-suicide attack	Bomb	7	2	0	5	70	70	0	0	77	Hamas/Qassam Brigades		"Hamas bomber left bomb in a cafeteria at the Hebrew University in Jerusalem.

2nd source says 5 Americans were killed in the blast. Also mentions that bomb was remote controlled."	"Hamas ""said it was revenge for an Israeli air strike last week on Gaza City, which killed the group's military leader and 14 other people, nine of them children."""	Civilian
132	04/08/02	Israel	Suicide attack	Bomb	10	7	1	2	50				60	Hamas/Qassam Brigades		"Blew up bus ""near a Jewish shrine close to the town of Safad, north of Lake Galilee.""

3 Israeli soldiers among dead

""...two women from the Philippines working in Israel were among the victims, as were two people from the Jewish state's minority Druze community."""	"""The Ezzedine al-Qassem Brigades said in a statement on Lebanese television the suicide attack was a 'further riposte to the killing of our leader Salah Shehade,' blown to pieces in Israel's internationally criticised air raid on Gaza City."""	Civilian
133	20/08/02	Gaza Strip	Non-suicide attack	Gun	2	1	1	0	0	0	0	0	2	Hamas/Qassam Brigades		"""Sgt. Kevin Cohen, 19, of Petah Tikva, was killed by a sniper yesterday morning at the Yakinton IDF post near Gadid in the Gaza Strip. Hamas claimed responsibility."""	"""Since the announcement by Israeli and PA officials regarding the implementation of the 'Gaza-Bethlehem first' plan, Hamas, Islamic Jihad, Fatah's al-Aksa Martyrs Brigade, the Popular Front for the Liberation of Palestine, and the Democratic Front for the Liberation of Palestine have vowed to continue attacks"""	Military
134	19/09/02	Israel	Suicide attack	Bomb	7	5	4	1	60				66	Hamas/Qassam Brigades		"Bomber on Tel Aviv bus.

One Scottish teen later died of wounds (source 172)."	"""The army reoccupied most of the West Bank on June 19 following a similar sequence of back-to-back Palestinian suicide attacks, and only withdrew from Bethlehem a month ago."""	Civilian
135	25/09/02	Israel	Non-suicide attack	Rocket	0	0	0	0	1	1	0	0	1		Hamas/Qassam Brigades	"""The Qassam rockets, produced by the Ezzedine al-Qassam Brigades, the military wing of the radical Islamic group Hamas, hit business premises in the industrial zone of the southern Israeli town of Siderot.""
NOT the same as saying QB launched the rockets! Attribution thus far from 100%.
One person injured was hit by an additional mortar."	"""In an apparent response to the raid, an Israeli armoured column staged an incursion into the Palestinian autonomous town of Beit Hanun in the northern Gaza Strip, letting off bursts of heavy machine-gun fire.
Armoured bulldozers destroyed a two-storey building in the east of the town, the officials said.""
Israel also killed at least one Hamas leader. Possibly also response to Qassam rockets."	
136	05/10/02	Gaza Strip	Non-suicide attack	Bomb	0	0	0	0	0	0	0	0	0	Hamas/Qassam Brigades		"""The radical Islamic group Hamas said its forces ambushed an Israeli army patrol in the northern Gaza Strip Saturday morning, setting off two bombs as the soldiers went by.""
Hamas said there were casualties, IDF said only 1 blast and no casualties."		
137	06/10/02	Gaza Strip	Non-suicide attack	Rocket	0	0	0	0	0	0	0	0	0		Hamas/Qassam Brigades	"""A home-made Palestinian rocket was fired at a Jewish settlement in the Gaza Strip late Sunday, without causing injuries or damage, military sources said. They did not name the settlement targeted by the Qassam rocket..."""		Civilian
138	08/10/02	West Bank	Non-suicide attack	Gun	0	0	0	0	4	4	0	0	4	Hamas/Qassam Brigades		"""attack Tuesday on a car near the West Bank city of Hebron in which four Israelis were shot and wounded."""	""" '...in revenge for the Zionist massacre in Khan Yunis,' [QB] said in a statement faxed to AFP. The statement referred to a massive Israeli army raid in the southern Gaza Strip town on Monday that left 15 Palestinians dead."""	Civilian
139	10/10/02	Israel	Suicide attack	Bomb	2	1	1	0	4	4	0	0	6	Hamas/Qassam Brigades		"""A greater tragedy was averted because Hamad slipped when trying to jump on the bus and hit the sidewalk where the driver and another passenger spotted his explosives belt. The two held down Hamad for several minutes to allow bystanders to flee, before releasing the bomber and escaping themselves."""		Civilian
140	27/10/02	West Bank	Suicide attack	Bomb	4	3	1	0					4	Hamas/QB + al-Aqsa Martyrs		"Filling station attack in Jewish settlement, 3 soldiers killed. I assume soldiers were specific target, but since not explicitly military place, plus may have been just an opportunity of the moment, have labeled ""mixed.""

Both QB and al-Aqsa claim only they carried out attack, QB slams a-A for its claim."	"""Hamas said the attack was payback for Israeli attacks on its leaders, and a ""gift for our prisoners in Ketziot prison,"" a large Israeli detention facility in the Negev desert."""	Mixed
141	06/11/02	Gaza Strip	Non-suicide attack	Gun	3	2	1	0	1	1	0	0	4	Hamas + other		"""Gunman opened fire on a Jewish settlement."" Was shot dead."	"""The attack came a day after Israeli Prime Minister Ariel Sharon announced an early election, throwing the country into three months of political instability in advance of a January vote."""	Civilian
142	21/11/02	Israel	Suicide attack	Bomb	12	11	1						12	Hamas/QB + PIJ		"Bomb on rush-hour bus in Kiryat Menachem neighborhood in SW Jerusalem. Competing claims of responsibility from Hamas and PIJ (see source 182).

Oddly, none of the reports mention how many wounded!

General note: as 2002 progresses, more news articles reporting of Israeli successes against Hamas rather than vice versa. Definite feeling of tide turning through control strategy."	""" 'The operation was... one of the several answers to settle accounts for the assassination of Salah Shehade and the martyrs of Darraj,' "" - QB
""The army dropped a one-tonne bomb on the residential neighborhood of Darraj in Gaza City on July 22 killing Hamas military leader Shehade as well as 16 other people, most of them civilians.""

Israeli tanks moved back into Bethlehem as a result (183)."	Civilian
143	05/01/03	Israel	Suicide attack	Bomb	24	14	6		100				124	All 3 together		"Two suicide bombers, downtown Tel Aviv, rush hour. PIJ, QB, and ""Fatah offshoot,"" each separately claimed responsibility. No idea who actually carried it our or if done in cooperation.

Wounded an estimate, as usual.

3 sources required."	"""[Israeli Prime Minister Ariel Sharon] told a public meeting in Jerusalem, 'Every attempt to reach a ceasefire is bound to fail because of the support of the (Palestinian Authority) for terrorism. You cannot talk about peace as long as terrorism rages.'

Soon afterwards Israeli helicopters fired some 10 rockets on Gaza City, causing a power cut"" (186)."	Civilian
144	17/01/03	West Bank	Non-suicide attack	Gun	3	1	2	0	3	3	0	0	5	Hamas/Qassam Brigades		"Attack on Kiryat Arba settlement. Broke into one home, killing one and injuring 3 others before being shot by another inhabitant of house. 2nd attacker escaped towards Hebron and ""tracked down and killed Saturday morning"" (Jan 18).

2 sources."	""" 'Two of our heroic combatants attacked an Israeli settlement near Hebron in reprisal for the murder of (Palestinian) civilians and the destruction of our houses,' said a statement from the Ezzedine al-Qassam Brigades."""	Civilian
145	23/01/03	West Bank	Non-suicide attack	Gun	3	3	0	0	0	0	0	0	3	Hamas/Qassam Brigades		"""Palestinian gunmen ambushed the three [Israelis] at the Kvasim junction just south of the West Bank town [of Hebron], critically wounding the victims, who died almost immediately, Israeli medical sources said.""

Whether those killed were soldiers, civilians, or gov't is not clear."	"occured ""just hours after Palestinian militant groups said they would shun truce overtures at inter-factional talks to be held in Cairo."""	
146	24/01/03	Israel	Non-suicide attack	Rocket	0	0	0	0	0	0	0	0	0	Hamas/Qassam Brigades		"Fired rocket into Israel from Gaza Strip.
After raid: A ""Qassem rocket was fired from the northern town of Beit Hanoun, just north of Gaza City, after Israeli forces stormed into the area in retaliation to the firing of seven rockets across the border Friday by the armed wing of the radical Islamic group Hamas, which caused no injuries.

The rocket fired on Sunday morning hit an area of empty land in southern Israel, police said."""	Israel launched big raid on Gaza City in response. More rockets followed.	Civilian
